DB	User	Host	Application	Application Group	Calls	Connections	Cpu	Duration	ReadKb	WriteKb	Notes
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<20952>	DatabaseMail - DatabaseMail - Id<20952>	4	4	0	979977	1344	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<17404>	DatabaseMail - DatabaseMail - Id<17404>	5	5	0	1929907	2536	120	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<28724>	DatabaseMail - DatabaseMail - Id<28724>	4	4	0	979901	1296	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<29012>	DatabaseMail - DatabaseMail - Id<29012>	4	4	0	979985	1296	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<11592>	DatabaseMail - DatabaseMail - Id<11592>	4	4	0	979950	1360	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<47012>	DatabaseMail - DatabaseMail - Id<47012>	4	4	16	979951	1360	56	
ft3	ope_monconsft3	FACEVEDO-VM	Monitor FT3	Monitor FT3	3	3	2860	85750	528160	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<44088>	DatabaseMail - DatabaseMail - Id<44088>	5	5	0	1359912	2256	0	
ft3	ope_ft3web	arsen-clon.sinacofi.corp	Microsoft JDBC Driver for SQL Server	Microsoft JDBC Driver for SQL Server	0	3	0	0	0	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<38992>	DatabaseMail - DatabaseMail - Id<38992>	4	4	0	979930	1296	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<18240>	DatabaseMail - DatabaseMail - Id<18240>	5	5	0	1929902	2376	16	
master	skylab\ope_sql_neg	S1P-NEG-SQL	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	4	0	1751	939716	215304	152	UI Queries, SQL Server
model	skylab\ope_sql_neg	S1P-NEG-SQL	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	3	0	953	1106	88168	176	UI Queries, SQL Server
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	2	0	1360	1947	780848	160	UI Queries, SQL Server
Monitor	skylab\ope_sql_neg	S1P-NEG-SQL	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	2	0	31063	32360	1370680	136	UI Queries, SQL Server
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<35588>	DatabaseMail - DatabaseMail - Id<35588>	5	5	0	1929841	2352	56	
intercajas	skylab\ope_sql_neg	S1P-NEG-SQL	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	3	0	2167091	1523210	418368008	68872	UI Queries, SQL Server
ft3	skylab\ope_sql_neg	S1P-NEG-SQL	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	4	0	123268	112119	4595040	382264	UI Queries, SQL Server
Swsnew	skylab\ope_sql_neg	S1P-NEG-SQL	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	2	0	1656	2238	142256	464	UI Queries, SQL Server
ValidacionTributaria	skylab\ope_sql_neg	S1P-NEG-SQL	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	5	0	521658	2821125	63332536	1965936	UI Queries, SQL Server
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<32440>	DatabaseMail - DatabaseMail - Id<32440>	4	4	15	979981	1320	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<55696>	DatabaseMail - DatabaseMail - Id<55696>	4	4	0	979980	1312	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<51568>	DatabaseMail - DatabaseMail - Id<51568>	4	4	0	979937	1280	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<20328>	DatabaseMail - DatabaseMail - Id<20328>	4	4	0	979969	1360	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<52896>	DatabaseMail - DatabaseMail - Id<52896>	4	4	0	979964	1376	56	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<26048>	DatabaseMail - DatabaseMail - Id<26048>	4	4	0	979955	1360	56	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<26688>	DatabaseMail - DatabaseMail - Id<26688>	5	5	0	1929856	2392	32	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<36204>	DatabaseMail - DatabaseMail - Id<36204>	4	4	0	979879	1312	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<17132>	DatabaseMail - DatabaseMail - Id<17132>	4	4	15	979970	1360	56	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<17036>	DatabaseMail - DatabaseMail - Id<17036>	4	4	0	979941	1296	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<25256>	DatabaseMail - DatabaseMail - Id<25256>	4	4	0	979970	1368	0	
